chip_filename,lat,lon,salar,ssi_delta,gaia_prob,severidad
-26.9131_-69.1265.npy,-26.913125,-69.126494,salar_maricunga,0.1668,0.2181,media
-26.9611_-69.1265.npy,-26.961086,-69.126513,salar_maricunga,0.1873,0.4094,media
-26.9217_-69.1302.npy,-26.92169,-69.130196,salar_maricunga,0.2091,0.1514,alta
-26.9510_-69.1301.npy,-26.950967,-69.130076,salar_maricunga,0.2461,0.7542,alta
-26.9544_-69.1302.npy,-26.954358,-69.130194,salar_maricunga,0.2324,0.6145,alta
-26.9603_-69.1312.npy,-26.960339,-69.131191,salar_maricunga,0.1646,0.4296,media
-26.9263_-69.1375.npy,-26.92626,-69.137522,salar_maricunga,0.2187,0.6527,alta
-26.9477_-69.1392.npy,-26.947746,-69.139151,salar_maricunga,0.2306,0.546,alta
-26.9348_-69.1396.npy,-26.934825,-69.139633,salar_maricunga,0.2898,0.804,alta
-26.9394_-69.1406.npy,-26.939443,-69.140581,salar_maricunga,0.1772,0.4045,media
-27.0457_-69.1404.npy,-27.045696,-69.14042,salar_maricunga,0.1741,0.1239,media
-27.0501_-69.1427.npy,-27.05013,-69.142689,salar_maricunga,0.1582,0.115,media
-26.9105_-69.1545.npy,-26.910492,-69.154519,salar_maricunga,0.1912,0.0866,media
-26.8929_-69.1699.npy,-26.892885,-69.16987,salar_maricunga,0.1816,0.0639,media
-27.0211_-69.1715.npy,-27.021125,-69.171487,salar_maricunga,0.1826,0.1223,media
-26.8907_-69.1727.npy,-26.890695,-69.172653,salar_maricunga,0.1745,0.0624,media
-27.0208_-69.1763.npy,-27.02082,-69.176262,salar_maricunga,0.187,0.1261,media
-26.8927_-69.1755.npy,-26.89275,-69.17548,salar_maricunga,0.1902,0.1225,media
-27.0202_-69.1786.npy,-27.020204,-69.178552,salar_maricunga,0.1711,0.124,media
-27.0021_-69.1778.npy,-27.002114,-69.177782,salar_maricunga,0.1873,0.1024,media
-26.9817_-69.1801.npy,-26.981721,-69.180125,salar_maricunga,0.1902,0.088,media
-27.0181_-69.1816.npy,-27.018087,-69.181617,salar_maricunga,0.1882,0.1304,media
-26.8369_-69.1859.npy,-26.836865,-69.185903,salar_maricunga,0.1794,0.1175,media
-27.0018_-69.1832.npy,-27.001788,-69.183223,salar_maricunga,0.1894,0.092,media
-26.9858_-69.1879.npy,-26.985791,-69.187929,salar_maricunga,0.1644,0.1175,media
-27.0021_-69.1885.npy,-27.002128,-69.188537,salar_maricunga,0.2004,0.0775,alta
-27.0100_-69.1938.npy,-27.009999,-69.19377,salar_maricunga,0.2061,0.0719,alta
-26.8279_-69.1930.npy,-26.827908,-69.192994,salar_maricunga,0.1732,0.1342,media
-26.8111_-69.1927.npy,-26.811107,-69.192658,salar_maricunga,0.1679,0.1056,media
-26.8652_-69.1931.npy,-26.865246,-69.193129,salar_maricunga,0.1845,0.2045,media
-26.8435_-69.1939.npy,-26.843474,-69.19394,salar_maricunga,0.1682,0.1088,media
-27.0394_-69.1934.npy,-27.039367,-69.193426,salar_maricunga,0.1945,0.1497,media
-26.9418_-69.1934.npy,-26.941846,-69.193367,salar_maricunga,0.1715,0.1131,media
-27.0058_-69.1944.npy,-27.005774,-69.194438,salar_maricunga,0.175,0.0704,media
-27.0328_-69.1940.npy,-27.032835,-69.194019,salar_maricunga,0.1703,0.1095,media
-26.8649_-69.1953.npy,-26.864859,-69.195257,salar_maricunga,0.1699,0.1371,media
-26.8304_-69.1954.npy,-26.830391,-69.19543,salar_maricunga,0.1652,0.1129,media
-26.9481_-69.1944.npy,-26.948131,-69.194418,salar_maricunga,0.2084,0.1054,alta
-26.8400_-69.1974.npy,-26.840026,-69.197375,salar_maricunga,0.2019,0.0706,alta
-26.8447_-69.1990.npy,-26.844734,-69.199018,salar_maricunga,0.1373,0.102,media
-26.9960_-69.1993.npy,-26.99596,-69.199284,salar_maricunga,0.1779,0.1349,media
-26.9407_-69.1982.npy,-26.940718,-69.198241,salar_maricunga,0.2056,0.1053,alta
-26.9455_-69.1991.npy,-26.945486,-69.199096,salar_maricunga,0.1875,0.0998,media
-26.9487_-69.1996.npy,-26.948657,-69.199611,salar_maricunga,0.1817,0.0942,media
-26.9419_-69.1993.npy,-26.941877,-69.199327,salar_maricunga,0.1927,0.0964,media
-26.9823_-69.1992.npy,-26.98232,-69.199197,salar_maricunga,0.193,0.1134,media
-27.0022_-69.1954.npy,-27.002214,-69.19538,salar_maricunga,0.2012,0.1047,alta
-26.3244_-69.0234.npy,-26.324361,-69.023357,salar_pedernales,0.1795,0.1447,media
-26.2886_-69.1905.npy,-26.288611,-69.19047,salar_pedernales,0.178,0.1609,media
-26.1126_-69.0575.npy,-26.112623,-69.057489,salar_pedernales,0.1515,0.1712,media
-26.1078_-69.1829.npy,-26.107779,-69.18293,salar_pedernales,0.2022,0.0982,alta
-26.2676_-69.2385.npy,-26.267614,-69.238508,salar_pedernales,0.1402,0.1285,media
-26.2667_-69.2436.npy,-26.266724,-69.243554,salar_pedernales,0.1598,0.1329,media
-26.3901_-69.3182.npy,-26.390099,-69.318232,salar_pedernales,0.1772,0.0982,media
-26.2674_-69.3200.npy,-26.267417,-69.319983,salar_pedernales,0.1828,0.1318,media
-26.3048_-69.3341.npy,-26.304829,-69.334126,salar_pedernales,0.1579,0.0951,media
-26.3360_-69.3375.npy,-26.33604,-69.337527,salar_pedernales,0.1799,0.2077,media
-26.2578_-69.3394.npy,-26.25776,-69.33945,salar_pedernales,0.1682,0.0768,media
-26.3979_-69.3422.npy,-26.397921,-69.342227,salar_pedernales,0.183,0.1437,media
-26.3154_-69.3453.npy,-26.315373,-69.345339,salar_pedernales,0.1576,0.1142,media
-26.3327_-69.3459.npy,-26.33266,-69.345905,salar_pedernales,0.1686,0.1211,media
-26.3156_-69.3478.npy,-26.315617,-69.347776,salar_pedernales,0.1847,0.1012,media
-26.3268_-69.3492.npy,-26.326801,-69.349211,salar_pedernales,0.1561,0.0961,media
-26.3324_-69.3491.npy,-26.332368,-69.349106,salar_pedernales,0.1654,0.095,media
-26.2561_-69.3533.npy,-26.256118,-69.353326,salar_pedernales,0.1797,0.0869,media
-26.3919_-69.3572.npy,-26.39192,-69.357213,salar_pedernales,0.1556,0.0957,media
-26.3507_-69.3703.npy,-26.350663,-69.370259,salar_pedernales,0.1474,0.11,media
-26.3652_-69.3647.npy,-26.365228,-69.364676,salar_pedernales,0.1549,0.1103,media
-26.3649_-69.3743.npy,-26.364931,-69.374307,salar_pedernales,0.1842,0.0813,media
-26.3995_-69.3766.npy,-26.399476,-69.376583,salar_pedernales,0.167,0.132,media
-26.3921_-69.3805.npy,-26.392075,-69.380537,salar_pedernales,0.1524,0.1743,media
-26.3923_-69.3833.npy,-26.392341,-69.383285,salar_pedernales,0.17,0.1712,media
-26.3938_-69.3874.npy,-26.393813,-69.387363,salar_pedernales,0.1857,0.134,media
-26.3975_-69.3962.npy,-26.397459,-69.396244,salar_pedernales,0.1625,0.1124,media
-26.3934_-69.3894.npy,-26.393411,-69.389444,salar_pedernales,0.1379,0.1263,media
-26.3942_-69.3972.npy,-26.394213,-69.397225,salar_pedernales,0.1716,0.1174,media
-26.3706_-69.3978.npy,-26.370564,-69.397761,salar_pedernales,0.1709,0.1098,media
-24.7725_-68.4124.npy,-24.772464,-68.412447,salar_punta_negra,0.1883,0.1001,media
-24.6334_-68.4270.npy,-24.633356,-68.426962,salar_punta_negra,0.1919,0.0932,media
-24.6745_-68.4275.npy,-24.674546,-68.427458,salar_punta_negra,0.1608,0.0869,media
-24.7700_-68.4232.npy,-24.770034,-68.423158,salar_punta_negra,0.2017,0.1064,alta
-24.6358_-68.4318.npy,-24.635825,-68.431832,salar_punta_negra,0.2118,0.1,alta
-24.7752_-68.4309.npy,-24.775241,-68.430943,salar_punta_negra,0.1928,0.0695,media
-24.7764_-68.4332.npy,-24.776363,-68.433223,salar_punta_negra,0.1917,0.1,media
-24.6772_-68.4312.npy,-24.67724,-68.431191,salar_punta_negra,0.1909,0.1087,media
-24.7797_-68.4363.npy,-24.779668,-68.436272,salar_punta_negra,0.2304,0.0984,alta
-24.6130_-68.4373.npy,-24.613048,-68.437311,salar_punta_negra,0.158,0.0781,media
-24.6826_-68.4416.npy,-24.68264,-68.441592,salar_punta_negra,0.1924,0.0923,media
-24.6299_-68.4512.npy,-24.629895,-68.451188,salar_punta_negra,0.1877,0.0951,media
-24.5063_-68.4585.npy,-24.506308,-68.458503,salar_punta_negra,0.1779,0.0873,media
-24.6286_-68.4627.npy,-24.628641,-68.462708,salar_punta_negra,0.1751,0.0605,media
-24.5942_-68.4704.npy,-24.594178,-68.470413,salar_punta_negra,0.1631,0.0851,media
-24.7276_-68.4809.npy,-24.727629,-68.480901,salar_punta_negra,0.2123,0.1075,alta
-24.6659_-68.4913.npy,-24.665913,-68.491302,salar_punta_negra,0.1519,0.0912,media
-24.5026_-68.4933.npy,-24.502621,-68.493265,salar_punta_negra,0.2332,0.0671,alta
-24.6832_-68.4954.npy,-24.68322,-68.495382,salar_punta_negra,0.1852,0.115,media
-24.6785_-68.4961.npy,-24.678462,-68.496085,salar_punta_negra,0.1865,0.0869,media
-24.5028_-68.4964.npy,-24.502846,-68.496374,salar_punta_negra,0.1803,0.0751,media
-24.5261_-68.4957.npy,-24.526086,-68.49569,salar_punta_negra,0.1762,0.0804,media
-24.5302_-68.5026.npy,-24.530242,-68.502582,salar_punta_negra,0.1851,0.0926,media
-24.5110_-68.5004.npy,-24.511005,-68.500447,salar_punta_negra,0.2394,0.0946,alta
-24.5186_-68.4992.npy,-24.518599,-68.49918,salar_punta_negra,0.2373,0.0894,alta
-24.5128_-68.5056.npy,-24.51278,-68.505582,salar_punta_negra,0.1926,0.0797,media
-24.6237_-68.5030.npy,-24.623657,-68.502999,salar_punta_negra,0.1723,0.0836,media
-24.5188_-68.5042.npy,-24.518815,-68.50423,salar_punta_negra,0.193,0.0649,media
-24.6718_-68.5099.npy,-24.671784,-68.509906,salar_punta_negra,0.2245,0.076,alta
-24.6268_-68.5060.npy,-24.626797,-68.506026,salar_punta_negra,0.1697,0.0631,media
-24.6307_-68.5091.npy,-24.630705,-68.509057,salar_punta_negra,0.1719,0.0832,media
-24.6280_-68.5098.npy,-24.62803,-68.50981,salar_punta_negra,0.2112,0.0824,alta
-24.6771_-68.5106.npy,-24.677149,-68.510628,salar_punta_negra,0.1651,0.0858,media
-24.6258_-68.5105.npy,-24.625779,-68.510481,salar_punta_negra,0.1889,0.0865,media
-24.5210_-68.5128.npy,-24.521024,-68.512805,salar_punta_negra,0.165,0.0795,media
-24.6803_-68.5143.npy,-24.680338,-68.514344,salar_punta_negra,0.1952,0.083,media
